[unsup] epoch 326/800  loss=7755.7728
[unsup] epoch 327/800  loss=7670.9820
[unsup] epoch 328/800  loss=7746.0254
[unsup] epoch 329/800  loss=8364.8896
[unsup] epoch 330/800  loss=7883.6252
[unsup] epoch 331/800  loss=7740.8324
[unsup] epoch 332/800  loss=7720.1283
[unsup] epoch 333/800  loss=7711.3778
[unsup] epoch 334/800  loss=7602.3987
[unsup] epoch 335/800  loss=7581.9430
[unsup] epoch 336/800  loss=7731.2411
[unsup] epoch 337/800  loss=7674.0837
[unsup] epoch 338/800  loss=7532.7373
[unsup] epoch 339/800  loss=7460.2856
[unsup] epoch 340/800  loss=7810.2754
[unsup] epoch 341/800  loss=7569.2348
[unsup] epoch 342/800  loss=7496.4101
[unsup] epoch 343/800  loss=7925.5005
[unsup] epoch 344/800  loss=7765.7956
[unsup] epoch 345/800  loss=7597.9749
[unsup] epoch 346/800  loss=7568.6444
[unsup] epoch 347/800  loss=7724.8000
[unsup] epoch 348/800  loss=7790.1725
[unsup] epoch 349/800  loss=7729.7039
[unsup] epoch 350/800  loss=7768.1495
[unsup] epoch 351/800  loss=7822.2435
[unsup] epoch 352/800  loss=7404.6645
[unsup] epoch 353/800  loss=7461.6987
[unsup] epoch 354/800  loss=7451.4680
[unsup] epoch 355/800  loss=7431.6015
[unsup] epoch 356/800  loss=7699.9963
[unsup] epoch 357/800  loss=7879.0857
[unsup] epoch 358/800  loss=7390.9743
[unsup] epoch 359/800  loss=7795.9232
[unsup] epoch 360/800  loss=7419.7947
[unsup] epoch 361/800  loss=7361.3797
[unsup] epoch 362/800  loss=7504.8764
[unsup] epoch 363/800  loss=7383.1633
[unsup] epoch 364/800  loss=7484.5281
[unsup] epoch 365/800  loss=7611.9981
[unsup] epoch 366/800  loss=8051.6235
[unsup] epoch 367/800  loss=7715.6397
[unsup] epoch 368/800  loss=7825.4877
[unsup] epoch 369/800  loss=7729.5386
[unsup] epoch 370/800  loss=7736.4751
[unsup] epoch 371/800  loss=7618.2706
[unsup] epoch 372/800  loss=7925.2824
[unsup] epoch 373/800  loss=7444.7106
[unsup] epoch 374/800  loss=7542.2082
[unsup] epoch 375/800  loss=7371.1300
[unsup] epoch 376/800  loss=7382.0479
[unsup] epoch 377/800  loss=7549.3148
[unsup] epoch 378/800  loss=7540.7994
[unsup] epoch 379/800  loss=7450.0849
[unsup] epoch 380/800  loss=7491.1399
[unsup] epoch 381/800  loss=7368.5883
[unsup] epoch 382/800  loss=7457.8175
[unsup] epoch 383/800  loss=7574.9853
[unsup] epoch 384/800  loss=7433.1938
[unsup] epoch 385/800  loss=7521.2451
[unsup] epoch 386/800  loss=7733.1309
[unsup] epoch 387/800  loss=7363.9992
[unsup] epoch 388/800  loss=7331.2274
[unsup] epoch 389/800  loss=7490.8809
[unsup] epoch 390/800  loss=7517.1510
[unsup] epoch 391/800  loss=7680.8166
[unsup] epoch 392/800  loss=7872.6739
[unsup] epoch 393/800  loss=8380.0573
[unsup] epoch 394/800  loss=7675.1138
[unsup] epoch 395/800  loss=7611.4600
[unsup] epoch 396/800  loss=7424.2277
[unsup] epoch 397/800  loss=7228.5279
[unsup] epoch 398/800  loss=7410.9553
[unsup] epoch 399/800  loss=7412.5325
[unsup] epoch 400/800  loss=7356.4068
[unsup] epoch 401/800  loss=7523.2506
[unsup] epoch 402/800  loss=7747.9005
[unsup] epoch 403/800  loss=7397.2254
[unsup] epoch 404/800  loss=7401.5518
[unsup] epoch 405/800  loss=8119.3018
[unsup] epoch 406/800  loss=7524.5128
[unsup] epoch 407/800  loss=7493.1756
[unsup] epoch 408/800  loss=7453.7068
[unsup] epoch 409/800  loss=7527.5553
[unsup] epoch 410/800  loss=7722.5216
[unsup] epoch 411/800  loss=7690.5732
[unsup] epoch 412/800  loss=7361.2561
[unsup] epoch 413/800  loss=7350.9188
[unsup] epoch 414/800  loss=7473.4996
[unsup] epoch 415/800  loss=7338.1055
[unsup] epoch 416/800  loss=7341.3270
[unsup] epoch 417/800  loss=7311.9874
[unsup] epoch 418/800  loss=7556.5688
[unsup] epoch 419/800  loss=7308.9622
[unsup] epoch 420/800  loss=7354.1151
[unsup] epoch 421/800  loss=7233.9443
[unsup] epoch 422/800  loss=7492.2503
[unsup] epoch 423/800  loss=7278.4670
[unsup] epoch 424/800  loss=7275.9958
[unsup] epoch 425/800  loss=7332.6051
[unsup] epoch 426/800  loss=7340.9011
[unsup] epoch 427/800  loss=7565.5320
[unsup] epoch 428/800  loss=7335.3449
[unsup] epoch 429/800  loss=8254.2934
[unsup] epoch 430/800  loss=7935.9349
[unsup] epoch 431/800  loss=7551.4889
[unsup] epoch 432/800  loss=7540.3943
[unsup] epoch 433/800  loss=7429.3415
[unsup] epoch 434/800  loss=7431.2444
[unsup] epoch 435/800  loss=7299.2141
[unsup] epoch 436/800  loss=7312.2405
[unsup] epoch 437/800  loss=7261.7731
[unsup] epoch 438/800  loss=7438.7573
[unsup] epoch 439/800  loss=7298.4543
[unsup] epoch 440/800  loss=7608.4569
[unsup] epoch 441/800  loss=7623.8575
[unsup] epoch 442/800  loss=7425.2877
[unsup] epoch 443/800  loss=7516.9815
[unsup] epoch 444/800  loss=7361.0008
[unsup] epoch 445/800  loss=7305.8650
[unsup] epoch 446/800  loss=7313.1657
[unsup] epoch 447/800  loss=7403.4783
[unsup] epoch 448/800  loss=7210.3070
[unsup] epoch 449/800  loss=7335.7178
[unsup] epoch 450/800  loss=7238.1876
[unsup] epoch 451/800  loss=7289.2575
[unsup] epoch 452/800  loss=7315.9082
[unsup] epoch 453/800  loss=7205.4555
[unsup] epoch 454/800  loss=7321.6736
[unsup] epoch 455/800  loss=7469.8933
[unsup] epoch 456/800  loss=7386.4827
[unsup] epoch 457/800  loss=7413.7613
[unsup] epoch 458/800  loss=7451.4148
[unsup] epoch 459/800  loss=7446.6258
